gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,salary,output
1.0,44.0,0.0,58.0,0.0,0.0,55.0,0.0,1.0,64.25,1.0,58.54,288655.4054054054,0
1.0,71.0,0.0,58.66,0.0,2.0,58.0,2.0,1.0,56.0,0.0,61.3,690000.0,1
1.0,65.0,0.0,65.0,0.0,1.0,75.0,0.0,0.0,83.0,0.0,58.87,270000.0,1
0.0,75.4,1.0,60.5,0.0,2.0,84.0,2.0,0.0,98.0,0.0,65.25,240000.0,1
1.0,49.0,1.0,59.0,1.0,2.0,65.0,2.0,1.0,86.0,0.0,62.48,340000.0,1
1.0,53.0,0.0,63.0,1.0,2.0,60.0,0.0,1.0,70.0,0.0,53.2,250000.0,1
1.0,51.57,1.0,74.66,1.0,1.0,59.9,0.0,1.0,56.15,1.0,65.99,288655.4054054054,0
1.0,84.2,0.0,69.4,0.0,2.0,65.0,2.0,1.0,80.0,1.0,52.72,255000.0,1
1.0,66.5,0.0,62.5,0.0,1.0,60.9,0.0,0.0,93.4,0.0,55.03,300000.0,1
1.0,67.0,1.0,63.0,1.0,2.0,64.0,2.0,0.0,60.0,0.0,61.87,288655.4054054054,0
1.0,52.0,0.0,49.0,1.0,1.0,58.0,0.0,0.0,62.0,1.0,60.59,288655.4054054054,0
1.0,87.0,0.0,74.0,0.0,2.0,65.0,2.0,1.0,75.0,1.0,72.29,300000.0,1
1.0,55.6,1.0,51.0,1.0,1.0,57.5,0.0,0.0,57.63,1.0,62.72,288655.4054054054,0
1.0,74.2,0.0,87.6,1.0,1.0,77.25,0.0,1.0,75.2,0.0,66.06,285000.0,1
1.0,63.0,1.0,67.0,1.0,2.0,64.0,2.0,0.0,75.0,0.0,66.46,500000.0,1
0.0,67.16,0.0,72.5,0.0,1.0,63.35,0.0,0.0,53.04,0.0,65.52,250000.0,1
0.0,63.3,0.0,78.33,1.0,1.0,74.0,0.0,0.0,80.0,0.0,74.56,288655.4054054054,0
1.0,62.0,1.0,62.0,1.0,1.0,60.0,0.0,1.0,63.0,1.0,52.38,240000.0,1
1.0,67.9,1.0,62.0,1.0,2.0,67.0,2.0,1.0,58.1,0.0,75.71,288655.4054054054,0
0.0,48.0,0.0,51.0,0.0,1.0,58.0,0.0,1.0,60.0,1.0,58.79,288655.4054054054,0
1.0,59.96,1.0,42.16,1.0,2.0,61.26,2.0,0.0,54.48,1.0,65.48,288655.4054054054,0
0.0,63.4,1.0,67.2,1.0,1.0,60.0,0.0,0.0,58.06,1.0,69.28,288655.4054054054,0
1.0,80.0,1.0,80.0,1.0,1.0,72.0,0.0,1.0,63.79,0.0,66.04,290000.0,1
1.0,73.0,1.0,58.0,1.0,1.0,56.0,0.0,0.0,84.0,1.0,52.64,300000.0,1
0.0,52.0,1.0,52.0,1.0,2.0,55.0,2.0,0.0,67.0,1.0,59.32,288655.4054054054,0
1.0,73.24,1.0,50.83,1.0,2.0,64.27,2.0,1.0,64.0,0.0,66.23,500000.0,1
1.0,63.0,1.0,62.0,1.0,2.0,65.0,2.0,0.0,87.5,1.0,60.69,288655.4054054054,0
0.0,59.0,0.0,60.0,1.0,1.0,56.0,0.0,0.0,55.0,1.0,57.9,220000.0,1
0.0,73.0,0.0,97.0,1.0,1.0,79.0,0.0,1.0,89.0,0.0,70.81,650000.0,1
1.0,68.0,1.0,56.0,1.0,2.0,68.0,2.0,0.0,73.0,1.0,68.07,350000.0,1
0.0,77.8,0.0,64.0,0.0,2.0,64.2,2.0,0.0,75.5,1.0,72.14,288655.4054054054,0
1.0,65.0,0.0,71.5,1.0,1.0,62.8,0.0,1.0,57.0,0.0,56.6,265000.0,1
1.0,62.0,0.0,60.33,1.0,2.0,64.21,2.0,0.0,63.0,1.0,60.02,288655.4054054054,0
1.0,52.0,1.0,65.0,1.0,0.0,57.0,1.0,1.0,75.0,0.0,59.81,288655.4054054054,0
1.0,65.0,0.0,77.0,0.0,1.0,69.0,0.0,0.0,60.0,1.0,61.82,276000.0,1
0.0,56.28,1.0,62.83,1.0,1.0,59.79,0.0,0.0,60.0,1.0,57.29,288655.4054054054,0
0.0,88.0,0.0,72.0,0.0,2.0,78.0,1.0,0.0,82.0,1.0,71.43,252000.0,1
0.0,52.0,0.0,64.0,0.0,1.0,61.0,0.0,0.0,55.0,0.0,62.93,288655.4054054054,0
1.0,78.5,0.0,65.5,0.0,2.0,67.0,2.0,1.0,95.0,0.0,64.86,280000.0,1
1.0,61.8,1.0,47.0,1.0,1.0,54.38,0.0,0.0,57.0,0.0,56.13,288655.4054054054,0
0.0,54.0,0.0,77.6,1.0,1.0,69.2,0.0,0.0,95.65,0.0,66.94,288655.4054054054,0
0.0,64.0,1.0,70.2,0.0,1.0,61.0,0.0,0.0,50.0,0.0,62.5,288655.4054054054,0
1.0,67.0,1.0,61.0,0.0,2.0,72.0,0.0,0.0,72.0,0.0,61.01,264000.0,1
1.0,65.2,0.0,61.4,0.0,1.0,64.8,0.0,1.0,93.4,0.0,57.34,270000.0,1
0.0,60.0,0.0,63.0,0.0,0.0,56.0,1.0,1.0,80.0,1.0,56.63,300000.0,1
1.0,52.0,1.0,55.0,1.0,1.0,56.3,0.0,0.0,59.0,0.0,64.74,288655.4054054054,0
1.0,66.0,0.0,76.0,0.0,1.0,72.0,0.0,1.0,84.0,1.0,58.95,275000.0,1
1.0,72.0,1.0,63.0,1.0,2.0,77.5,2.0,1.0,78.0,0.0,54.48,250000.0,1
0.0,83.96,1.0,53.0,1.0,2.0,91.0,2.0,0.0,59.32,1.0,69.71,260000.0,1
0.0,67.0,0.0,70.0,0.0,1.0,65.0,1.0,0.0,88.0,1.0,71.96,288655.4054054054,0
1.0,69.0,1.0,65.0,1.0,1.0,57.0,0.0,0.0,73.0,1.0,55.8,265000.0,1
1.0,69.0,1.0,60.0,1.0,1.0,65.0,0.0,0.0,87.55,0.0,52.81,300000.0,1
1.0,54.2,0.0,63.0,1.0,2.0,58.0,0.0,0.0,79.0,1.0,58.44,288655.4054054054,0
1.0,70.0,0.0,63.0,0.0,2.0,66.0,2.0,0.0,61.28,1.0,60.11,240000.0,1
1.0,55.68,1.0,61.33,1.0,1.0,56.87,0.0,0.0,66.0,1.0,58.3,260000.0,1
0.0,74.0,1.0,73.0,1.0,1.0,73.0,0.0,1.0,80.0,0.0,67.69,210000.0,1
1.0,61.0,1.0,62.0,1.0,1.0,65.0,0.0,0.0,62.0,0.0,56.81,250000.0,1
1.0,41.0,0.0,42.0,0.0,2.0,60.0,0.0,0.0,97.0,0.0,53.39,288655.4054054054,0
1.0,83.33,0.0,78.0,1.0,1.0,61.0,0.0,1.0,88.56,0.0,71.55,300000.0,1
0.0,43.0,0.0,60.0,1.0,2.0,65.0,0.0,0.0,92.66,1.0,62.92,288655.4054054054,0
1.0,62.0,0.0,72.0,0.0,1.0,65.0,0.0,0.0,67.0,0.0,56.49,216000.0,1
1.0,80.6,1.0,82.0,1.0,1.0,77.6,0.0,0.0,91.0,0.0,74.49,400000.0,1
1.0,58.0,1.0,60.0,1.0,2.0,72.0,2.0,0.0,74.0,0.0,53.62,275000.0,1
1.0,67.0,1.0,67.0,1.0,1.0,73.0,0.0,1.0,59.0,0.0,69.72,295000.0,1
0.0,74.0,1.0,66.0,1.0,1.0,58.0,0.0,0.0,70.0,1.0,60.23,204000.0,1
1.0,62.0,0.0,58.0,1.0,2.0,53.0,0.0,0.0,89.0,1.0,60.22,288655.4054054054,0
